"id","code","tv010_uw_type_materiaux_id","tv010_uw_type_menuiserie_id","ug","uw","est_efface","tv010_uw_type_baie_id"
"1","TV010_001","1","1","NULL","3.5","0","3"
"2","TV010_002","1","2","NULL","4","0","3"
"3","TV010_003","1","3","NULL","4.5","0","3"
"4","TV010_004","1","4","NULL","3.3","0","3"
"5","TV010_005","2","1","NULL","5.8","0","3"
"6","TV010_006","2","18","NULL","5.8","0","3"
"7","TV010_007","2","2","NULL","5.5","0","3"
"8","TV010_008","2","3","NULL","4.8","0","3"
"9","TV010_009","3","5","NULL","2","0","3"
"10","TV010_010","3","6","NULL","1.5","0","3"
"11","TV010_011","4","7","NULL","3.5","0","2"
"12","TV010_012","4","8","NULL","2.6","0","2"
"13","TV010_013","9","17","NULL","3","0","2"
"14","TV010_014","5","9","0.8","2.3","0","1"
"15","TV010_015","5","9","0.9","2.3","0","1"
"16","TV010_016","5","9","1","2.4","0","1"
"17","TV010_017","5","9","1.1","2.5","0","1"
"18","TV010_018","5","9","1.2","2.5","0","1"
"19","TV010_019","5","9","1.3","2.6","0","1"
"20","TV010_020","5","9","1.4","2.7","0","1"
"21","TV010_021","5","9","1.5","2.7","0","1"
"22","TV010_022","5","9","1.6","2.8","0","1"
"23","TV010_023","5","9","1.7","2.9","0","1"
"24","TV010_024","5","9","1.8","2.9","0","1"
"25","TV010_025","5","9","1.9","3","0","1"
"26","TV010_026","5","9","2","3","0","1"
"27","TV010_027","5","9","2.1","3","0","1"
"28","TV010_028","5","9","2.2","3.1","0","1"
"29","TV010_029","5","9","2.3","3.2","0","1"
"30","TV010_030","5","9","2.4","3.2","0","1"
"31","TV010_031","5","9","2.5","3.3","0","1"
"32","TV010_032","5","9","2.6","3.4","0","1"
"33","TV010_033","5","9","2.7","3.4","0","1"
"34","TV010_034","5","9","2.8","3.5","0","1"
"35","TV010_035","5","9","2.9","3.6","0","1"
"36","TV010_036","5","9","3","3.6","0","1"
"37","TV010_037","5","9","3.1","3.7","0","1"
"38","TV010_038","5","9","3.2","3.8","0","1"
"39","TV010_039","5","9","3.3","3.8","0","1"
"40","TV010_040","5","9","5.8","5.2","0","1"
"41","TV010_041","5","10","0.8","2.1","0","1"
"42","TV010_042","5","10","0.9","2.2","0","1"
"43","TV010_043","5","10","1","2.3","0","1"
"44","TV010_044","5","10","1.1","2.3","0","1"
"45","TV010_045","5","10","1.2","2.4","0","1"
"46","TV010_046","5","10","1.3","2.5","0","1"
"47","TV010_047","5","10","1.4","2.5","0","1"
"48","TV010_048","5","10","1.5","2.6","0","1"
"49","TV010_049","5","10","1.6","2.7","0","1"
"50","TV010_050","5","10","1.7","2.7","0","1"
"51","TV010_051","5","10","1.8","2.8","0","1"
"52","TV010_052","5","10","1.9","2.9","0","1"
"53","TV010_053","5","10","2","2.9","0","1"
"54","TV010_054","5","10","2.1","2.9","0","1"
"55","TV010_055","5","10","2.2","3","0","1"
"56","TV010_056","5","10","2.3","3.1","0","1"
"57","TV010_057","5","10","2.4","3.1","0","1"
"58","TV010_058","5","10","2.5","3.2","0","1"
"59","TV010_059","5","10","2.6","3.3","0","1"
"60","TV010_060","5","10","2.7","3.4","0","1"
"61","TV010_061","5","10","2.8","3.4","0","1"
"62","TV010_062","5","10","2.9","3.5","0","1"
"63","TV010_063","5","10","3","3.6","0","1"
"64","TV010_064","5","10","3.1","3.6","0","1"
"65","TV010_065","5","10","3.2","3.7","0","1"
"66","TV010_066","5","10","3.3","3.8","0","1"
"67","TV010_067","5","10","5.8","5.3","0","1"
"68","TV010_068","5","11","0.8","2","0","1"
"69","TV010_069","5","11","0.9","2.1","0","1"
"70","TV010_070","5","11","1","2.2","0","1"
"71","TV010_071","5","11","1.1","2.2","0","1"
"72","TV010_072","5","11","1.2","2.3","0","1"
"73","TV010_073","5","11","1.3","2.4","0","1"
"74","TV010_074","5","11","1.4","2.5","0","1"
"75","TV010_075","5","11","1.5","2.5","0","1"
"76","TV010_076","5","11","1.6","2.6","0","1"
"77","TV010_077","5","11","1.7","2.7","0","1"
"78","TV010_078","5","11","1.8","2.8","0","1"
"79","TV010_079","5","11","1.9","2.8","0","1"
"80","TV010_080","5","11","2","2.9","0","1"
"81","TV010_081","5","11","2.1","2.9","0","1"
"82","TV010_082","5","11","2.2","2.9","0","1"
"83","TV010_083","5","11","2.3","3","0","1"
"84","TV010_084","5","11","2.4","3.1","0","1"
"85","TV010_085","5","11","2.5","3.2","0","1"
"86","TV010_086","5","11","2.6","3.2","0","1"
"87","TV010_087","5","11","2.7","3.3","0","1"
"88","TV010_088","5","11","2.8","3.4","0","1"
"89","TV010_089","5","11","2.9","3.5","0","1"
"90","TV010_090","5","11","3","3.5","0","1"
"91","TV010_091","5","11","3.1","3.6","0","1"
"92","TV010_092","5","11","3.2","3.7","0","1"
"93","TV010_093","5","11","3.3","3.8","0","1"
"94","TV010_094","5","11","5.8","5.3","0","1"
"95","TV010_095","5","12","0.8","1.8","0","1"
"96","TV010_096","5","12","0.9","1.9","0","1"
"97","TV010_097","5","12","1","2","0","1"
"98","TV010_098","5","12","1.1","2.1","0","1"
"99","TV010_099","5","12","1.2","2.1","0","1"
"100","TV010_100","5","12","1.3","2.2","0","1"
"101","TV010_101","5","12","1.4","2.3","0","1"
"102","TV010_102","5","12","1.5","2.4","0","1"
"103","TV010_103","5","12","1.6","2.5","0","1"
"104","TV010_104","5","12","1.7","2.5","0","1"
"105","TV010_105","5","12","1.8","2.6","0","1"
"106","TV010_106","5","12","1.9","2.7","0","1"
"107","TV010_107","5","12","2","2.8","0","1"
"108","TV010_108","5","12","2.1","2.8","0","1"
"109","TV010_109","5","12","2.2","2.8","0","1"
"110","TV010_110","5","12","2.3","2.9","0","1"
"111","TV010_111","5","12","2.4","3","0","1"
"112","TV010_112","5","12","2.5","3.1","0","1"
"113","TV010_113","5","12","2.6","3.2","0","1"
"114","TV010_114","5","12","2.7","3.2","0","1"
"115","TV010_115","5","12","2.8","3.3","0","1"
"116","TV010_116","5","12","2.9","3.4","0","1"
"117","TV010_117","5","12","3","3.5","0","1"
"118","TV010_118","5","12","3.1","3.6","0","1"
"119","TV010_119","5","12","3.2","3.6","0","1"
"120","TV010_120","5","12","3.3","3.7","0","1"
"121","TV010_121","5","12","5.8","5.4","0","1"
"122","TV010_122","6","9","2","4.1","0","1"
"123","TV010_123","6","9","2.1","4.1","0","1"
"124","TV010_124","6","9","2.2","4.1","0","1"
"125","TV010_125","6","9","2.3","4.2","0","1"
"126","TV010_126","6","9","2.4","4.2","0","1"
"127","TV010_127","6","9","2.5","4.3","0","1"
"128","TV010_128","6","9","2.6","4.4","0","1"
"129","TV010_129","6","9","2.7","4.4","0","1"
"130","TV010_130","6","9","2.8","4.5","0","1"
