"id","code","tv038_puissance_nominale_type_chaudiere_id","tv038_puissance_nominale_type_installation_id","annee_installation","pdin","pdim_min","pdim_max","pn","est_efface"
"1","TV038_001","1","1","A partir de 2006","Pdim ? 5","NULL","5","5","0"
"2","TV038_002","1","1","A partir de 2006","5 < Pdim ? 10","5","10","10","0"
"3","TV038_003","1","1","A partir de 2006","10 < Pdim ? 13","10","13","13","0"
"4","TV038_004","1","1","A partir de 2006","13 < Pdim ? 18","13","18","18","0"
"5","TV038_005","1","1","A partir de 2006","18 < Pdim ? 24","18","24","24","0"
"6","TV038_006","1","1","A partir de 2006","24 < Pdim ? 28","24","28","28","0"
"7","TV038_007","1","1","A partir de 2006","28 < Pdim ? 32","28","32","32","0"
"8","TV038_008","1","1","A partir de 2006","32 < Pdim ? 40","32","40","40","0"
"9","TV038_009","1","1","A partir de 2006","40 < Pdim","40","NULL","Array","0"
"10","TV038_010","1","1","Avant 2006","13 < Pdim ? 18","NULL","18","18","0"
"11","TV038_011","1","1","Avant 2006","18 < Pdim ? 24","18","24","24","0"
"12","TV038_012","1","1","Avant 2006","24 < Pdim ? 28","24","28","28","0"
"13","TV038_013","1","1","Avant 2006","28 < Pdim ? 32","28","32","32","0"
"14","TV038_014","1","1","Avant 2006","32 < Pdim ? 40","32","40","40","0"
"15","TV038_015","1","1","Avant 2006","40 < Pdim","40","NULL","Array","0"
"16","TV038_016","1","2","NULL","13 < Pdim ? 18","NULL","18","18","0"
"17","TV038_017","1","2","NULL","18 < Pdim ? 24","18","24","24","0"
"18","TV038_018","1","2","NULL","24 < Pdim ? 28","24","28","28","0"
"19","TV038_019","1","2","NULL","28 < Pdim ? 32","28","32","32","0"
"20","TV038_020","1","2","NULL","32 < Pdim ? 40","32","40","40","0"
"21","TV038_021","1","2","NULL","40 < Pdim","40","NULL","Array","0"
