Id,Code,Catégorie,Sous-Catégorie,Est_efface
1.0,TR011_001,2.0,Département,0.0
2.0,TR011_002,2.0,Altitude,0.0
3.0,TR011_003,2.0,Type de bâtiment,0.0
4.0,TR011_004,2.0,Année de construction,0.0
5.0,TR011_005,2.0,Surface habitable du lot,0.0
6.0,TR011_006,2.0,Nombre de niveaux,0.0
7.0,TR011_007,2.0,Hauteur moyenne sous plafond,0.0
8.0,TR011_008,2.0,Nombre de logement du bâtiment,0.0
9.0,TR011_009,1.0,Caractérisques des murs,0.0
10.0,TR011_010,1.0,Caractérisques des planchers,0.0
11.0,TR011_011,1.0,Caractérisques des plafonds,0.0
12.0,TR011_012,1.0,Caractérisques des baies,0.0
13.0,TR011_013,1.0,Caractérisques des portes,0.0
14.0,TR011_014,1.0,Caractérisques des ponts thermiques,0.0
15.0,TR011_015,3.0,Caractérisques de la ventilation,0.0
16.0,TR011_016,3.0,Caractérisques du chauffage,0.0
17.0,TR011_017,3.0,Caractérisques de la production d'eau chaude sanitaire,0.0
18.0,TR011_018,3.0,Caractérisques de la climatisation,0.0
19.0,TR011_019,3.0,Caractéristiques des systèmes de production d'énergie,0.0
