,code,aiu_aue,aiu_aue_min,aiu_aue_max,uv_ue,aue_isole,aiu_isole,valeur,est_efface
0,TV001_001,Extérieur,,,,,,1.0,0
1,TV001_002,Paroi enterré,,,,,,1.0,0
2,TV001_003,Vide Sanitaire,,,,,,0.8,0
3,TV001_004,Bâtiment adjacents,,,,,,0.2,0
4,TV001_005,"? 0,25",,0.25,0.0,0.0,1.0,0.95,0
5,TV001_006,"0,25 <  ? 0,50",0.25,0.5,0.0,0.0,1.0,0.95,0
6,TV001_007,"0,50 <  ? 0,75",0.5,0.75,0.0,0.0,1.0,0.9,0
7,TV001_008,"0,75 <  ? 1,00",0.75,1.0,0.0,0.0,1.0,0.85,0
8,TV001_009,"1,00 <  ? 1,25",1.0,1.25,0.0,0.0,1.0,0.85,0
9,TV001_010,"1,25 <  ? 2,00",1.25,2.0,0.0,0.0,1.0,0.8,0
10,TV001_011,"2,00 <  ? 2,50",2.0,2.5,0.0,0.0,1.0,0.75,0
11,TV001_012,"2,50 <  ? 3,00",2.5,3.0,0.0,0.0,1.0,0.7,0
12,TV001_013,"3,00 <  ? 3,50",3.0,3.5,0.0,0.0,1.0,0.65,0
13,TV001_014,"3,50 <  ? 4,00",3.5,4.0,0.0,0.0,1.0,0.65,0
14,TV001_015,"4,00 <  ? 6,00",4.0,6.0,0.0,0.0,1.0,0.55,0
15,TV001_016,"6,00 <  ? 8,00",6.0,8.0,0.0,0.0,1.0,0.45,0
16,TV001_017,"8,00 <  ? 10,00",8.0,10.0,0.0,0.0,1.0,0.4,0
17,TV001_018,"10,00 <  ? 25,00",10.0,25.0,0.0,0.0,1.0,0.35,0
18,TV001_019,"25,00 <  ? 50",25.0,50.0,0.0,0.0,1.0,0.2,0
19,TV001_020,"50,00 <",50.0,,0.0,0.0,1.0,0.1,0
20,TV001_021,"? 0,25",,0.25,0.3,0.0,1.0,0.95,0
21,TV001_022,"0,25 <  ? 0,50",0.25,0.5,0.3,0.0,1.0,0.95,0
22,TV001_023,"0,50 <  ? 0,75",0.5,0.75,0.3,0.0,1.0,0.95,0
23,TV001_024,"0,75 <  ? 1,00",0.75,1.0,0.3,0.0,1.0,0.9,0
24,TV001_025,"1,00 <  ? 1,25",1.0,1.25,0.3,0.0,1.0,0.9,0
25,TV001_026,"1,25 <  ? 2,00",1.25,2.0,0.3,0.0,1.0,0.8,0
26,TV001_027,"2,00 <  ? 2,50",2.0,2.5,0.3,0.0,1.0,0.8,0
27,TV001_028,"2,50 <  ? 3,00",2.5,3.0,0.3,0.0,1.0,0.75,0
28,TV001_029,"3,00 <  ? 3,50",3.0,3.5,0.3,0.0,1.0,0.75,0
29,TV001_030,"3,50 <  ? 4,00",3.5,4.0,0.3,0.0,1.0,0.7,0
30,TV001_031,"4,00 <  ? 6,00",4.0,6.0,0.3,0.0,1.0,0.6,0
31,TV001_032,"6,00 <  ? 8,00",6.0,8.0,0.3,0.0,1.0,0.55,0
32,TV001_033,"8,00 <  ? 10,00",8.0,10.0,0.3,0.0,1.0,0.5,0
33,TV001_034,"10,00 <  ? 25,00",10.0,25.0,0.3,0.0,1.0,0.4,0
34,TV001_035,"25,00 <  ? 50",25.0,50.0,0.3,0.0,1.0,0.25,0
35,TV001_036,"50,00 <",50.0,,0.3,0.0,1.0,0.15,0
36,TV001_037,"? 0,25",,0.25,3.0,0.0,1.0,1.0,0
37,TV001_038,"0,25 <  ? 0,50",0.25,0.5,3.0,0.0,1.0,0.95,0
38,TV001_039,"0,50 <  ? 0,75",0.5,0.75,3.0,0.0,1.0,0.95,0
39,TV001_040,"0,75 <  ? 1,00",0.75,1.0,3.0,0.0,1.0,0.95,0
40,TV001_041,"1,00 <  ? 1,25",1.0,1.25,3.0,0.0,1.0,0.9,0
41,TV001_042,"1,25 <  ? 2,00",1.25,2.0,3.0,0.0,1.0,0.9,0
42,TV001_043,"2,00 <  ? 2,50",2.0,2.5,3.0,0.0,1.0,0.9,0
43,TV001_044,"2,50 <  ? 3,00",2.5,3.0,3.0,0.0,1.0,0.85,0
44,TV001_045,"3,00 <  ? 3,50",3.0,3.5,3.0,0.0,1.0,0.85,0
