,Code,Matériaux,Upb0
0,TV006_001,Inconnu,2.0
1,TV006_002,Plancher avec ou sans remplissage,1.45
2,TV006_003,Plancher entre solives métalliques avec ou sans remplissage,1.45
3,TV006_004,Plancher entre solives bois avec ou sans remplissage,1.1
4,TV006_005,Plancher bois sur solives métalliques,1.6
5,TV006_006,Bardeaux et remplissage,1.1
6,TV006_007,Voutains sur solives métalliques,1.75
7,TV006_008,Voutains en briques ou moellons,0.8
8,TV006_009,Dalle béton,2.0
9,TV006_010,Plancher bois sur solives bois,1.6
10,TV006_011,"Plancher lourd type entrevous terre-cuite, poutrelles béton",2.0
11,TV006_012,Plancher à entrevous isolant,0.45
