,Code,Matériaux,épaisseur,Umur0
0,TV004_001,Inconnu,,2.0
1,TV004_002,Murs en pierre de taille et moellons constitué d'un seul matériaux,20 et -,3.2
2,TV004_003,Murs en pierre de taille et moellons constitué d'un seul matériaux,25,2.85
3,TV004_004,Murs en pierre de taille et moellons constitué d'un seul matériaux,30,2.65
4,TV004_005,Murs en pierre de taille et moellons constitué d'un seul matériaux,35,2.45
5,TV004_006,Murs en pierre de taille et moellons constitué d'un seul matériaux,40,2.3
6,TV004_007,Murs en pierre de taille et moellons constitué d'un seul matériaux,45,2.15
7,TV004_008,Murs en pierre de taille et moellons constitué d'un seul matériaux,50,2.05
8,TV004_009,Murs en pierre de taille et moellons constitué d'un seul matériaux,55,1.9
9,TV004_010,Murs en pierre de taille et moellons constitué d'un seul matériaux,60,1.8
10,TV004_011,Murs en pierre de taille et moellons constitué d'un seul matériaux,65,1.75
11,TV004_012,Murs en pierre de taille et moellons constitué d'un seul matériaux,70,1.65
12,TV004_013,Murs en pierre de taille et moellons constitué d'un seul matériaux,75,1.55
13,TV004_014,Murs en pierre de taille et moellons constitué d'un seul matériaux,80,1.5
14,TV004_015,Murs en pierre de taille et moellons avec remplissage tout venant,50,1.9
15,TV004_016,Murs en pierre de taille et moellons avec remplissage tout venant,55,1.75
16,TV004_017,Murs en pierre de taille et moellons avec remplissage tout venant,60,1.6
17,TV004_018,Murs en pierre de taille et moellons avec remplissage tout venant,65,1.5
18,TV004_019,Murs en pierre de taille et moellons avec remplissage tout venant,70,1.45
19,TV004_020,Murs en pierre de taille et moellons avec remplissage tout venant,75,1.3
20,TV004_021,Murs en pierre de taille et moellons avec remplissage tout venant,80,1.25
21,TV004_022,Murs en pisé ou béton de terre stabilisé (à partir d'argile crue),40 et -,1.75
22,TV004_023,Murs en pisé ou béton de terre stabilisé (à partir d'argile crue),45,1.65
23,TV004_024,Murs en pisé ou béton de terre stabilisé (à partir d'argile crue),50,1.55
24,TV004_025,Murs en pisé ou béton de terre stabilisé (à partir d'argile crue),55,1.45
25,TV004_026,Murs en pisé ou béton de terre stabilisé (à partir d'argile crue),60,1.35
26,TV004_027,Murs en pisé ou béton de terre stabilisé (à partir d'argile crue),65,1.25
27,TV004_028,Murs en pisé ou béton de terre stabilisé (à partir d'argile crue),70,1.2
28,TV004_029,Murs en pisé ou béton de terre stabilisé (à partir d'argile crue),75,1.15
29,TV004_030,Murs en pisé ou béton de terre stabilisé (à partir d'argile crue),80,1.1
30,TV004_031,Murs en pan de bois sans remplissage tout venant,8 et -,3.0
31,TV004_032,Murs en pan de bois sans remplissage tout venant,10,2.7
32,TV004_033,Murs en pan de bois sans remplissage tout venant,13,2.35
33,TV004_034,Murs en pan de bois sans remplissage tout venant,18,1.98
34,TV004_035,Murs en pan de bois sans remplissage tout venant,24,1.65
35,TV004_036,Murs en pan de bois sans remplissage tout venant,32,1.35
36,TV004_037,Murs en pan de bois avec remplissage tout venant,,1.7
37,TV004_038,Murs bois (rondin),10 et -,1.6
38,TV004_039,Murs bois (rondin),15,1.2
39,TV004_040,Murs bois (rondin),20,0.95
40,TV004_041,Murs bois (rondin),25,0.8
41,TV004_042,Murs en briques pleines simples,9 et -,3.9
42,TV004_043,Murs en briques pleines simples,12,3.45
43,TV004_044,Murs en briques pleines simples,15,3.05
44,TV004_045,Murs en briques pleines simples,19,2.75
45,TV004_046,Murs en briques pleines simples,23,2.5
46,TV004_047,Murs en briques pleines simples,28,2.25
47,TV004_048,Murs en briques pleines simples,34,2.0
48,TV004_049,Murs en briques pleines simples,45,1.65
49,TV004_050,Murs en briques pleines simples,55,1.45
50,TV004_051,Murs en briques pleines simples,60,1.35
51,TV004_052,Murs en briques pleines simples,70,1.2
52,TV004_053,Murs en briques pleines doubles avec lame d'air,20 et -,2.0
53,TV004_054,Murs en briques pleines doubles avec lame d'air,25,1.85
54,TV004_055,Murs en briques pleines doubles avec lame d'air,30,1.65
55,TV004_056,Murs en briques pleines doubles avec lame d'air,35,1.55
56,TV004_057,Murs en briques pleines doubles avec lame d'air,45,1.35
57,TV004_058,Murs en briques pleines doubles avec lame d'air,50,1.25
58,TV004_059,Murs en briques pleines doubles avec lame d'air,60,1.2
59,TV004_060,Murs en briques creuses,15 et -,2.15
60,TV004_061,Murs en briques creuses,18,2.05
61,TV004_062,Murs en briques creuses,20,2.0
62,TV004_063,Murs en briques creuses,23,1.85
63,TV004_064,Murs en briques creuses,25,1.7
64,TV004_065,Murs en briques creuses,28,1.68
65,TV004_066,Murs en briques creuses,33,1.65
66,TV004_067,Murs en briques creuses,38,1.55
67,TV004_068,Murs en briques creuses,43,1.4
68,TV004_069,Murs en blocs de béton pleins,20 et -,2.9
69,TV004_070,Murs en blocs de béton pleins,23,2.75
70,TV004_071,Murs en blocs de béton pleins,25,2.6
71,TV004_072,Murs en blocs de béton pleins,28,2.5
72,TV004_073,Murs en blocs de béton pleins,30,2.4
73,TV004_074,Murs en blocs de béton pleins,33,2.3
74,TV004_075,Murs en blocs de béton pleins,35,2.2
75,TV004_076,Murs en blocs de béton pleins,38,2.1
76,TV004_077,Murs en blocs de béton pleins,40,2.05
77,TV004_078,Murs en blocs de béton creux,20 et -,2.8
78,TV004_079,Murs en blocs de béton creux,23,2.65
79,TV004_080,Murs en blocs de béton creux,25,2.3
80,TV004_081,Murs en béton banché,20 et -,2.9
81,TV004_082,Murs en béton banché,22.5,2.75
82,TV004_083,Murs en béton banché,25,2.65
83,TV004_084,Murs en béton banché,28,2.5
84,TV004_085,Murs en béton banché,30,2.4
