,Code,Uw,∆R,Ujn
0,TV012_001,1.2,0.08,1.1
1,TV012_002,1.3,0.08,1.2
2,TV012_003,1.4,0.08,1.3
3,TV012_004,1.5,0.08,1.4
4,TV012_005,1.6,0.08,1.5
5,TV012_006,1.7,0.08,1.6
6,TV012_007,1.8,0.08,1.7
7,TV012_008,1.9,0.08,1.8
8,TV012_009,2.0,0.08,1.9
9,TV012_010,2.1,0.08,1.9
10,TV012_011,2.2,0.08,2.0
11,TV012_012,2.3,0.08,2.1
12,TV012_013,2.4,0.08,2.2
13,TV012_014,2.5,0.08,2.3
14,TV012_015,2.6,0.08,2.4
15,TV012_016,2.7,0.08,2.5
16,TV012_017,2.8,0.08,2.5
17,TV012_018,2.9,0.08,2.6
18,TV012_019,3.0,0.08,2.7
19,TV012_020,3.2,0.08,2.9
20,TV012_021,3.4,0.08,3.0
21,TV012_022,3.6,0.08,3.2
22,TV012_023,3.8,0.08,3.4
23,TV012_024,4.0,0.08,3.5
24,TV012_025,4.2,0.08,3.7
25,TV012_026,4.4,0.08,3.8
26,TV012_027,4.6,0.08,4.0
27,TV012_028,4.8,0.08,4.1
28,TV012_029,5.0,0.08,4.3
29,TV012_030,5.2,0.08,4.4
30,TV012_031,5.4,0.08,4.6
31,TV012_032,5.6,0.08,4.7
32,TV012_033,5.8,0.08,4.9
33,TV012_034,6.0,0.08,5.0
34,TV012_035,6.2,0.08,5.2
35,TV012_036,1.2,0.14,1.1
36,TV012_037,1.3,0.14,1.2
37,TV012_038,1.4,0.14,1.3
38,TV012_039,1.5,0.14,1.4
39,TV012_040,1.6,0.14,1.5
40,TV012_041,1.7,0.14,1.5
41,TV012_042,1.8,0.14,1.6
42,TV012_043,1.9,0.14,1.7
43,TV012_044,2.0,0.14,1.8
44,TV012_045,2.1,0.14,1.9
45,TV012_046,2.2,0.14,1.9
46,TV012_047,2.3,0.14,2.0
47,TV012_048,2.4,0.14,2.1
48,TV012_049,2.5,0.14,2.2
49,TV012_050,2.6,0.14,2.3
50,TV012_051,2.7,0.14,2.3
51,TV012_052,2.8,0.14,2.4
52,TV012_053,2.9,0.14,2.5
53,TV012_054,3.0,0.14,2.6
54,TV012_055,3.2,0.14,2.7
55,TV012_056,3.4,0.14,2.9
56,TV012_057,3.6,0.14,3.0
57,TV012_058,3.8,0.14,3.1
58,TV012_059,4.0,0.14,3.3
59,TV012_060,4.2,0.14,3.4
60,TV012_061,4.4,0.14,3.6
61,TV012_062,4.6,0.14,3.7
62,TV012_063,4.8,0.14,3.8
63,TV012_064,5.0,0.14,4.0
64,TV012_065,5.2,0.14,4.1
65,TV012_066,5.4,0.14,4.2
66,TV012_067,5.6,0.14,4.4
67,TV012_068,5.8,0.14,4.5
68,TV012_069,6.0,0.14,4.6
69,TV012_070,6.2,0.14,4.8
70,TV012_071,1.2,0.19,1.1
71,TV012_072,1.3,0.19,1.2
72,TV012_073,1.4,0.19,1.3
73,TV012_074,1.5,0.19,1.3
74,TV012_075,1.6,0.19,1.4
75,TV012_076,1.7,0.19,1.5
