,Code,Type de Pose,Matériaux,Type de Baie,Type de Vitrage,Fts
0,TV021_001,Autres,Brique de Verre,,,0.4
1,TV021_002,Autres,Polycarbonate,,,0.4
2,TV021_003,Nu Extérieur,Bois,Fenêtre battante ou coulissante,Simple vitrage,0.58
3,TV021_004,Nu Extérieur,Bois,Fenêtre battante ou coulissante,Double vitrage,0.52
4,TV021_005,Nu Extérieur,Bois,Fenêtre battante ou coulissante,Double vitrage VIR,0.45
5,TV021_006,Nu Extérieur,Bois,Fenêtre battante ou coulissante,Triple vitrage,0.46
6,TV021_007,Nu Extérieur,Bois,Fenêtre battante ou coulissante,Triple vitrage VIR,0.41
7,TV021_008,Nu Extérieur,Bois,Portes-fenêtres battantes  ou coulissantes sans soubassement,Simple vitrage,0.62
8,TV021_009,Nu Extérieur,Bois,Portes-fenêtres battantes  ou coulissantes sans soubassement,Double vitrage,0.55
9,TV021_010,Nu Extérieur,Bois,Portes-fenêtres battantes  ou coulissantes sans soubassement,Double vitrage VIR,0.48
10,TV021_011,Nu Extérieur,Bois,Portes-fenêtres battantes  ou coulissantes sans soubassement,Triple vitrage,0.49
11,TV021_012,Nu Extérieur,Bois,Portes-fenêtres battantes  ou coulissantes sans soubassement,Triple vitrage VIR,0.44
12,TV021_013,Nu Extérieur,Bois,Portes-fenêtres battantes  avec soubassement,Simple vitrage,0.53
13,TV021_014,Nu Extérieur,Bois,Portes-fenêtres battantes  avec soubassement,Double vitrage,0.48
14,TV021_015,Nu Extérieur,Bois,Portes-fenêtres battantes  avec soubassement,Double vitrage VIR,0.41
15,TV021_016,Nu Extérieur,Bois,Portes-fenêtres battantes  avec soubassement,Triple vitrage,0.42
16,TV021_017,Nu Extérieur,Bois,Portes-fenêtres battantes  avec soubassement,Triple vitrage VIR,0.38
17,TV021_018,Nu Extérieur,PVC,Fenêtre battante,Simple vitrage,0.54
18,TV021_019,Nu Extérieur,PVC,Fenêtre battante,Double vitrage,0.48
19,TV021_020,Nu Extérieur,PVC,Fenêtre battante,Double vitrage VIR,0.42
20,TV021_021,Nu Extérieur,PVC,Fenêtre battante,Triple vitrage,0.43
21,TV021_022,Nu Extérieur,PVC,Fenêtre battante,Triple vitrage VIR,0.39
22,TV021_023,Nu Extérieur,PVC,Portes-fenêtres battantes  sans soubassement,Simple vitrage,0.57
23,TV021_024,Nu Extérieur,PVC,Portes-fenêtres battantes  sans soubassement,Double vitrage,0.51
24,TV021_025,Nu Extérieur,PVC,Portes-fenêtres battantes  sans soubassement,Double vitrage VIR,0.44
25,TV021_026,Nu Extérieur,PVC,Portes-fenêtres battantes  sans soubassement,Triple vitrage,0.45
26,TV021_027,Nu Extérieur,PVC,Portes-fenêtres battantes  sans soubassement,Triple vitrage VIR,0.4
27,TV021_028,Nu Extérieur,PVC,Portes-fenêtres battantes  avec soubassement,Simple vitrage,0.5
28,TV021_029,Nu Extérieur,PVC,Portes-fenêtres battantes  avec soubassement,Double vitrage,0.45
29,TV021_030,Nu Extérieur,PVC,Portes-fenêtres battantes  avec soubassement,Double vitrage VIR,0.39
30,TV021_031,Nu Extérieur,PVC,Portes-fenêtres battantes  avec soubassement,Triple vitrage,0.4
31,TV021_032,Nu Extérieur,PVC,Portes-fenêtres battantes  avec soubassement,Triple vitrage VIR,0.36
32,TV021_033,Nu Extérieur,PVC,Fenêtre coulissante,Simple vitrage,0.6
33,TV021_034,Nu Extérieur,PVC,Fenêtre coulissante,Double vitrage,0.54
34,TV021_035,Nu Extérieur,PVC,Fenêtre coulissante,Double vitrage VIR,0.46
35,TV021_036,Nu Extérieur,PVC,Fenêtre coulissante,Triple vitrage,0.47
36,TV021_037,Nu Extérieur,PVC,Fenêtre coulissante,Triple vitrage VIR,0.43
37,TV021_038,Nu Extérieur,PVC,Portes-fenêtres coulissantes,Simple vitrage,0.64
38,TV021_039,Nu Extérieur,PVC,Portes-fenêtres coulissantes,Double vitrage,0.57
39,TV021_040,Nu Extérieur,PVC,Portes-fenêtres coulissantes,Double vitrage VIR,0.49
40,TV021_041,Nu Extérieur,PVC,Portes-fenêtres coulissantes,Triple vitrage,0.51
41,TV021_042,Nu Extérieur,PVC,Portes-fenêtres coulissantes,Triple vitrage VIR,0.45
42,TV021_043,Nu Extérieur,Métal avec rupture de pont thermique,Fenêtre battante,Simple vitrage,0.59
43,TV021_044,Nu Extérieur,Métal avec rupture de pont thermique,Fenêtre battante,Double vitrage,0.53
