,Code,Type de Distribution,Isolé,Rd
0,TV029_001,Pas de réseau de distribution,,1.0
1,TV029_002,Réseau aéraulique collectif,Oui,0.85
2,TV029_003,Réseau aéraulique individuel,Oui,0.85
3,TV029_004,Réseau collectif eau chaude HT° (≥65°C),Oui,0.87
4,TV029_005,Réseau collectif eau chaude moyenne ou basse température (<65°C),Oui,0.9
5,TV029_006,Réseau individuel eau chaude moyenne ou basse température (<65°C),Oui,0.95
6,TV029_007,Réseau individuel eau chaude haute température (≥65°C),Oui,0.92
7,TV029_008,Réseau aéraulique collectif,Non,0.8
8,TV029_009,Réseau aéraulique individuel,Non,0.8
9,TV029_010,Réseau collectif eau chaude HT° (≥65°C),Non,0.85
10,TV029_011,Réseau collectif eau chaude moyenne ou basse température (<65°C),Non,0.87
11,TV029_012,Réseau individuel eau chaude moyenne ou basse température (<65°C),Non,0.91
12,TV029_013,Réseau individuel eau chaude haute température (≥65°C),Non,0.88
