,Code,Type d'énergie,Forme physique de l'énergie,Unité physique,Taux de conversion en PCI kWh
0,TV044_001,Bois de chauffage,Plaquettes d'industrie,tonne,2200
1,TV044_002,Bois de chauffage,Plaquettes forestières,tonne,2760
2,TV044_003,Bois de chauffage,"Granulés, briquettes",tonne,4600
3,TV044_004,Bois de chauffage,bûches,tonne,1680
4,TV044_005,Gaz naturel,Gaz naturel,m3(n),11.628
5,TV044_006,Gaz naturel,Gaz naturel,kWh PCS,"1/1,11"
6,TV044_007,Gaz propane ou butane,Gaz propane,tonne,13800
7,TV044_008,Gaz propane ou butane,Gaz propane,litre,6.9
8,TV044_009,Gaz propane ou butane,Gaz propane,m3(n),11.628
9,TV044_010,Gaz propane ou butane,Gaz butane,tonne,12780
10,TV044_011,Gaz propane ou butane,Gaz butane,litre,6.9
11,TV044_012,Gaz propane ou butane,Gaz butane,m3(n),11.628
12,TV044_013,Fioul domestique,"Pétrole, gazole, fioul domestique",litre,9.97
13,TV044_014,Charbon,Houille,tonne,7222
14,TV044_015,Charbon,Coke de houille,tonne,7778
15,TV044_016,Charbon,Agglomérés et briquettes de lignite,tonne,8869
16,TV044_017,Charbon,Lignite et produits de récupération,tonne,4722
17,TV044_018,Electricité,Electricité,kWh PCS,1
