"id","code","tv009_ug_type_vitrage_id","tv009_ug_orientation_id","tv009_ug_remplissage_id","epaisseur_lame","tv009_ug_traitement_vitrage_id","ug","est_efface","simu_ordre","simulateur"
"1","TV009_001","1","NULL","NULL","0","NULL","5.80","0","NULL","1"
"2","TV009_002","2","2","1","6","2","3.30","0","NULL","1"
"3","TV009_003","2","2","1","8","2","3.10","0","NULL","1"
"4","TV009_004","2","2","1","10","2","2.90","0","NULL","1"
"5","TV009_005","2","2","1","12","2","2.80","0","NULL","1"
"6","TV009_006","2","2","1","14","2","2.80","0","NULL","1"
"7","TV009_007","2","2","1","15","2","2.70","0","NULL","1"
"8","TV009_008","2","2","1","16","2","2.70","0","NULL","1"
"9","TV009_009","2","2","1","18","2","2.70","0","NULL","1"
"10","TV009_010","2","2","1","20","2","2.70","0","NULL","1"
"11","TV009_011","2","2","1","6","1","2.80","0","NULL","1"
"12","TV009_012","2","2","1","8","1","2.50","0","NULL","1"
"13","TV009_013","2","2","1","10","1","2.30","0","NULL","1"
"14","TV009_014","2","2","1","12","1","2.20","0","NULL","1"
"15","TV009_015","2","2","1","14","1","2.10","0","NULL","1"
"16","TV009_016","2","2","1","15","1","2.00","0","NULL","1"
"17","TV009_017","2","2","1","16","1","2.00","0","NULL","1"
"18","TV009_018","2","2","1","18","1","2.00","0","NULL","1"
"19","TV009_019","2","2","1","20","1","2.00","0","NULL","1"
"20","TV009_020","2","2","2","6","2","3.10","0","NULL","1"
"21","TV009_021","2","2","2","8","2","2.90","0","NULL","1"
"22","TV009_022","2","2","2","10","2","2.80","0","NULL","1"
"23","TV009_023","2","2","2","12","2","2.70","0","NULL","1"
"24","TV009_024","2","2","2","14","2","2.60","0","NULL","1"
"25","TV009_025","2","2","2","15","2","2.60","0","NULL","1"
"26","TV009_026","2","2","2","16","2","2.60","0","NULL","1"
"27","TV009_027","2","2","2","18","2","2.60","0","NULL","1"
"28","TV009_028","2","2","2","20","2","2.60","0","NULL","1"
"29","TV009_029","2","2","2","6","1","2.50","0","NULL","1"
"30","TV009_030","2","2","2","8","1","2.30","0","NULL","1"
"31","TV009_031","2","2","2","10","1","2.10","0","NULL","1"
