"id","code","mur_isole","annee_construction","annee_construction_min","annee_construction_max","annee_isolation","annee_isolation_min","annee_isolation_max","tv017_zone_hiver_id","effet_joule","umur","est_efface"
"1","TV003_001","NULL","1948 à 1974","1948","1974","NULL","NULL","NULL","1","1","2.50","0"
"2","TV003_002","NULL","1974 à 1977","1975","1977","NULL","NULL","NULL","1","1","1.00","0"
"3","TV003_003","NULL","1977 à 1982","1978","1982","NULL","NULL","NULL","1","1","0.80","0"
"4","TV003_004","NULL","1982 à 1988","1983","1988","NULL","NULL","NULL","1","1","0.70","0"
"5","TV003_005","NULL","1988 à 2000","1989","2000","NULL","NULL","NULL","1","1","0.45","0"
"6","TV003_006","NULL","2000 à 2005","2001","2005","NULL","NULL","NULL","1","1","0.40","0"
"7","TV003_007","NULL","à partir de 2006","2006","2900","NULL","NULL","NULL","1","1","0.36","0"
"8","TV003_008","NULL","1948 à 1974","1948","1974","NULL","NULL","NULL","1","0","2.50","0"
"9","TV003_009","NULL","1974 à 1977","1975","1977","NULL","NULL","NULL","1","0","1.00","0"
"10","TV003_010","NULL","1977 à 1982","1978","1982","NULL","NULL","NULL","1","0","1.00","0"
"11","TV003_011","NULL","1982 à 1988","1983","1988","NULL","NULL","NULL","1","0","0.80","0"
"12","TV003_012","NULL","1988 à 2000","1989","2000","NULL","NULL","NULL","1","0","0.50","0"
"13","TV003_013","NULL","2000 à 2005","2001","2005","NULL","NULL","NULL","1","0","0.40","0"
"14","TV003_014","NULL","à partir de 2006","2006","2900","NULL","NULL","NULL","1","0","0.36","0"
"15","TV003_015","NULL","1948 à 1974","1948","1974","NULL","NULL","NULL","2","1","2.50","0"
"16","TV003_016","NULL","1974 à 1977","1975","1977","NULL","NULL","NULL","2","1","1.05","0"
"17","TV003_017","NULL","1977 à 1982","1978","1982","NULL","NULL","NULL","2","1","0.84","0"
"18","TV003_018","NULL","1982 à 1988","1983","1988","NULL","NULL","NULL","2","1","0.74","0"
"19","TV003_019","NULL","1988 à 2000","1989","2000","NULL","NULL","NULL","2","1","0.47","0"
"20","TV003_020","NULL","2000 à 2005","2001","2005","NULL","NULL","NULL","2","1","0.40","0"
"21","TV003_021","NULL","à partir de 2006","2006","2900","NULL","NULL","NULL","2","1","0.36","0"
"22","TV003_022","NULL","1948 à 1974","1948","1974","NULL","NULL","NULL","2","0","2.50","0"
"23","TV003_023","NULL","1974 à 1977","1975","1977","NULL","NULL","NULL","2","0","1.05","0"
"24","TV003_024","NULL","1977 à 1982","1978","1982","NULL","NULL","NULL","2","0","1.05","0"
"25","TV003_025","NULL","1982 à 1988","1983","1988","NULL","NULL","NULL","2","0","0.84","0"
"26","TV003_026","NULL","1988 à 2000","1989","2000","NULL","NULL","NULL","2","0","0.53","0"
"27","TV003_027","NULL","2000 à 2005","2001","2005","NULL","NULL","NULL","2","0","0.40","0"
"28","TV003_028","NULL","à partir de 2006","2006","2900","NULL","NULL","NULL","2","0","0.36","0"
"29","TV003_029","NULL","1948 à 1974","1948","1974","NULL","NULL","NULL","3","1","2.50","0"
"30","TV003_030","NULL","1974 à 1977","1975","1977","NULL","NULL","NULL","3","1","1.11","0"
"31","TV003_031","NULL","1977 à 1982","1978","1982","NULL","NULL","NULL","3","1","0.89","0"
"32","TV003_032","NULL","1982 à 1988","1983","1988","NULL","NULL","NULL","3","1","0.78","0"
"33","TV003_033","NULL","1988 à 2000","1989","2000","NULL","NULL","NULL","3","1","0.50","0"
"34","TV003_034","NULL","2000 à 2005","2001","2005","NULL","NULL","NULL","3","1","0.47","0"
"35","TV003_035","NULL","à partir de 2006","2006","2900","NULL","NULL","NULL","3","1","0.40","0"
"36","TV003_036","NULL","1948 à 1974","1948","1974","NULL","NULL","NULL","3","0","2.50","0"
"37","TV003_037","NULL","1974 à 1977","1975","1977","NULL","NULL","NULL","3","0","1.11","0"
"38","TV003_038","NULL","1977 à 1982","1978","1982","NULL","NULL","NULL","3","0","1.11","0"
"39","TV003_039","NULL","1982 à 1988","1983","1988","NULL","NULL","NULL","3","0","0.89","0"
"40","TV003_040","NULL","1988 à 2000","1989","2000","NULL","NULL","NULL","3","0","0.56","0"
"41","TV003_041","NULL","2000 à 2005","2001","2005","NULL","NULL","NULL","3","0","0.47","0"
"42","TV003_042","NULL","à partir de 2006","2006","2900","NULL","NULL","NULL","3","0","0.40","0"
"43","TV003_043","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2.00","0"
"44","TV003_044","1","jusqu'à 1988","1900","1988","NULL","NULL","NULL","NULL","NULL","0.98","0"
"45","TV003_045","1","de 1989 à 2000","1989","2000","NULL","NULL","NULL","NULL","NULL","0.56","0"
"46","TV003_046","1","à partir de 2000","2001","2900","NULL","NULL","NULL","NULL","NULL","0.42","0"
"47","TV003_047","1","NULL","NULL","NULL","de 1975 à 1977","1975","1977","1","NULL","1.00","0"
"48","TV003_048","1","NULL","NULL","NULL","de 1978 à 1982","1978","1982","1","NULL","0.80","0"
"49","TV003_049","1","NULL","NULL","NULL","de 1983 à 1988","1983","1988","1","NULL","0.70","0"
"50","TV003_050","1","NULL","NULL","NULL","de 1989 à 2000","1989","2000","1","NULL","0.45","0"
"51","TV003_051","1","NULL","NULL","NULL","de 2001 à 2005","2001","2005","1","NULL","0.40","0"
"52","TV003_052","1","NULL","NULL","NULL","à partir de 2006","2006","2900","1","NULL","0.36","0"
"53","TV003_053","1","NULL","NULL","NULL","de 1975 à 1977","1975","1977","2","NULL","1.05","0"
"54","TV003_054","1","NULL","NULL","NULL","de 1978 à 1982","1978","1982","2","NULL","0.84","0"
"55","TV003_055","1","NULL","NULL","NULL","de 1983 à 1988","1983","1988","2","NULL","0.74","0"
