"id","code","tv020_coefficient_orientation_inclinaison_paroi_id","tv020_coefficient_orientation_orientation_paroi_id","type_baie","c1","est_efface"
"1","TV020_001","1","1","NULL","1.10","0"
"2","TV020_002","1","2","NULL","0.57","0"
"3","TV020_003","1","3","NULL","0.57","0"
"4","TV020_004","1","4","NULL","0.20","0"
"5","TV020_005","2","1","NULL","1.20","0"
"6","TV020_006","2","2","NULL","0.75","0"
"7","TV020_007","2","3","NULL","0.75","0"
"8","TV020_008","2","4","NULL","0.32","0"
"9","TV020_009","3","1","NULL","0.90","0"
"10","TV020_010","3","2","NULL","0.80","0"
"11","TV020_011","3","3","NULL","0.80","0"
"12","TV020_012","3","4","NULL","0.67","0"
"13","TV020_013","4","NULL","NULL","0.80","0"
"14","TV020_014","NULL","NULL","NULL","0.80","0"
