"id","code","tv040_rendement_distribution_ecs_type_installation_id","tv040_rendement_distribution_ecs_type_generateur_id","production_volume_habitable","pieces_alimentees_contigues","rd","est_efface"
"1","TV040_001","1","1","1","1","0.900","0"
"2","TV040_002","1","1","1","0","0.850","0"
"3","TV040_003","1","1","0","NULL","0.800","0"
"4","TV040_004","1","2","1","1","0.950","0"
"5","TV040_005","1","2","1","0","0.900","0"
"6","TV040_006","1","2","0","NULL","0.850","0"
"7","TV040_007","1","3","1","1","0.920","0"
"8","TV040_008","1","3","1","0","0.870","0"
"9","TV040_009","1","3","0","NULL","0.820","0"
"10","TV040_010","2","4","NULL","0","0.276","0"
"11","TV040_011","2","4","NULL","0","0.261","0"
"12","TV040_012","2","5","NULL","0","0.552","0"
"13","TV040_013","2","5","NULL","0","0.552","0"
"14","TV040_014","2","6","NULL","NULL","0.552","0"
